rating,reviews_count,cuisine_type,price,is_sponsored
"4,3",363,"Американская, Кафе",$$ - $$$,False
"4,2",600,"Азиатская, Сычуаньская",$$ - $$$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,3",730,"Японская, Суши",$$$$,False
"4,1",798,"Итальянская, Пицца",$$ - $$$,False
"4,6",25,"Азиатская, Корейская",$$ - $$$,False
"4,4",319,"Турецкая, Ближневосточная",$$ - $$$,False
"4,5",134,"Американская, Кафе",$$ - $$$,False
"4,3",231,"Бары и клубы, Американская",$$ - $$$,False
"4,3",372,Бар,$$ - $$$,False
"4,3",524,Американская,$$ - $$$,False
"4,2",913,"Итальянская, Стейк-хаус",$$$$,False
"3,6",855,Итальянская,$$ - $$$,False
"4,2",482,"Американская, Бар",$$ - $$$,False
"4,6",68,"Итальянская, Пицца",$,False
"4,2",443,"Турецкая, Греческая",$$ - $$$,False
"3,8",1069,"Американская, Стейк-хаус",$$$$,False
"4,0",755,"Американская, Международная",$$ - $$$,False
"5,0",3,"Средиземноморская, Греческая",$$ - $$$,True
"4,5",130,"Бары и клубы, Ирландская",$,True
"4,1",23628,"Десерты, Американская",$$ - $$$,True
"4,1",1135,"Американская, Бар",$$ - $$$,False
"4,3",338,"Американская, Средиземноморская",$$ - $$$,False
"4,2",709,"Итальянская, Стейк-хаус",$$$$,False
"4,4",625,"Японская, Азиатская",$$ - $$$,False
"3,5",37,"Стейк-хаус, Морепродукты",$$$$,False
N/A,0,"Азиатская, Тайская",,True
"4,3",203,Китайская,$,False
"4,3",570,"Американская, Бар",$$ - $$$,False
"4,2",1106,"Итальянская, Пицца",$$ - $$$,False
"4,3",341,"Пицца, Фастфуд",$,False
"4,1",845,Итальянская,$$ - $$$,False
"4,2",717,"Стейк-хаус, Морепродукты",$$$$,False
"3,9",1478,"Американская, Бар",$$ - $$$,False
"4,5",400,"Пицца, Итальянская",$$ - $$$,False
"4,5",258,Гастроном,$$ - $$$,False
"4,1",890,"Американская, Морепродукты",$$ - $$$,False
"4,6",56,"Итальянская, Пицца",$$ - $$$,True
"4,0",91,Итальянская,$$ - $$$,False
"4,1",541,"Американская, Закусочная",$,False
"4,2",479,"Американская, Стейк-хаус",$$ - $$$,False
"4,7",113,"Мексиканская, Латиноамериканская",$,False
"4,4",138,"Японская, Суши",$$ - $$$,False
"4,4",309,"Азиатская, Тайская",$$ - $$$,False
"4,5",619,"Итальянская, Пицца",$$$$,False
"4,3",1500,Американская,$,False
"4,4",137,"Французская, Кафе",$$ - $$$,False
"4,2",1212,"Итальянская, Пицца",$$ - $$$,False
"4,3",216,"Барбекю, Корейская",$$ - $$$,False
"4,0",3755,"Американская, Морепродукты",$$ - $$$,False
"4,0",360,"Американская, Бар",$$ - $$$,False
